source,target,first_year
alexandre-benois,zinaida-serebriakova,1916
alexandre-benois,eugene-lanceray,1886
alexandre-benois,konstantin-somov,1885
walter-sickert,david-bomberg,1908
walter-sickert,c-r-w-nevinson,1916
walter-sickert,philip-wilson-steer,1889
walter-sickert,lucien-pissarro,1906
jacek-malczewski,teodor-axentowicz,1897
samuel-peploe,henri-matisse,1894
samuel-peploe,john-duncan-fergusson,1904
piet-mondrian,pablo-picasso,1912
piet-mondrian,theo-van-doesburg,1915
piet-mondrian,jan-toorop,1897
piet-mondrian,jacoba-van-heemskerck,1906
piet-mondrian,jan-sluyters,1911
gwen-john,pablo-picasso,1904
gwen-john,henri-matisse,1904
emilie-charmy,henri-matisse,1904
augustus-john,philip-wilson-steer,1893
theo-van-doesburg,georges-vantongerloo,1916
william-orpen,john-singer-sargent,1913
william-orpen,philip-wilson-steer,1893
theo-van-rysselberghe,paul-signac,1887
theo-van-rysselberghe,lucien-pissarro,1919
c-r-w-nevinson,pablo-picasso,1912
wassily-kandinsky,claude-monet,1896
wassily-kandinsky,alexej-von-jawlensky,1894
wassily-kandinsky,henri-le-fauconnier,1910
wassily-kandinsky,albert-bloch,1909
wassily-kandinsky,hilma-af-klint,1908
wassily-kandinsky,helen-dahm,1911
wassily-kandinsky,nikolaos-lytras,1911
othon-friesz,marcelle-cahn,1920
alfred-william-finch,paul-signac,1884
auguste-herbin,pablo-picasso,1909
auguste-herbin,jean-metzinger,1910
konstantinos-parthenis,konstantinos-parthenis,1895
henri-manguin,jean-metzinger,1905
henri-manguin,georges-rouault,1905
arthur-beecher-carles,john-marin,1907
arthur-beecher-carles,alfred-stieglitz,1910
agnes-goodsir,agnes-goodsir,1898
serge-sudeikin,nicholas-roerich,1913
henri-le-fauconnier,jean-metzinger,1909
emily-carr,harry-phelan-gibb,1910
mikhail-nesterov,arkady-rylov,1897
ilya-mashkov,henri-matisse,1906
j-e-h-macdonald,lawren-harris,1911
j-e-h-macdonald,arthur-lismer,1907
j-e-h-macdonald,frederick-varley,1907
j-e-h-macdonald,frank-johnston,1907
marianne-stokes,helene-schjerfbeck,1883
marianne-stokes,anna-ancher,1885
maurice-utrillo,carlos-nadal,1920
moise-kisling,jules-pascin,1913
moise-kisling,amedeo-modigliani,1916
leon-kroll,robert-henri,1911
fernand-khnopff,james-ensor,1876
franz-stuck,josef-albers,1912
rupert-bunny,henri-matisse,1910
jan-toorop,jacoba-van-heemskerck,1906
edvard-munch,alfred-kubin,1899
edvard-munch,leon-spilliaert,1904
edvard-munch,oda-krohg,1893
edvard-munch,vilhelms-purvitis,1917
edvard-munch,helene-schjerfbeck,1905
edvard-munch,erich-heckel,1905
edvard-munch,christian-rohlfs,1901
vardges-sureniants,ilya-repin,1892
eliseu-visconti,rodolfo-amoedo,1884
julio-romero-de-torres,jose-gutierrez-solana,1917
roger-de-la-fresnaye,pablo-picasso,1911
willy-schlobach,james-ensor,1880
frank-johnston,lawren-harris,1918
panos-terlemezian,panos-terlemezian,1881
giorgio-de-chirico,pablo-picasso,1913
giorgio-de-chirico,carlo-carra,1915
giorgio-de-chirico,mario-tozzi,1919
giorgio-de-chirico,george-bouzianis,1910
giorgio-morandi,mario-tozzi,1916
carlo-carra,luigi-russolo,1910
carlo-carra,giacomo-balla,1910
mario-sironi,gino-severini,1905
alberto-magnelli,pablo-picasso,1912
joseph-decamp,childe-hassam,1897
xavier-martinez,childe-hassam,1914
thomas-dewing,childe-hassam,1898
armand-guillaumin,paul-signac,1885
konstantin-korovin,ilya-repin,1885
max-liebermann,lovis-corinth,1898
max-liebermann,max-slevogt,1898
max-liebermann,pablo-picasso,1910
max-liebermann,george-bouzianis,1910
willard-metcalf,childe-hassam,1905
vincenzo-migliaro,vincenzo-migliaro,1875
columbano-bordalo-pinheiro,columbano-bordalo-pinheiro,1881
philip-wilson-steer,stanley-spencer,1893
philip-wilson-steer,solomon-joseph-solomon,1886
paul-signac,claude-monet,1884
paul-signac,henri-matisse,1904
paul-signac,charles-angrand,1884
paul-signac,lucien-pissarro,1884
paul-signac,henry-van-de-velde,1886
paul-signac,louis-valtat,1904
childe-hassam,emil-carlsen,1891
tsuguharu-foujita,amedeo-modigliani,1917
tsuguharu-foujita,pablo-picasso,1917
tsuguharu-foujita,ossip-zadkine,1911
giacomo-balla,luigi-russolo,1913
alexej-von-jawlensky,henri-matisse,1911
alexej-von-jawlensky,emil-nolde,1912
lucien-pissarro,claude-monet,1870
jean-metzinger,pablo-picasso,1908
jean-metzinger,henri-matisse,1905
marsden-hartley,pablo-picasso,1912
marsden-hartley,max-weber,1909
yeghishe-tadevosyan,vasily-polenov,1894
gino-severini,pablo-picasso,1906
gustave-de-smet,emile-claus,1908
gustave-de-smet,constant-permeke,1906
frederick-carl-frieseke,claude-monet,1906
arthur-dove,max-weber,1909
david-bomberg,jacob-epstein,1913
david-bomberg,amedeo-modigliani,1913
david-bomberg,pablo-picasso,1913
david-bomberg,stanley-spencer,1908
john-marin,alfred-stieglitz,1909
john-marin,max-weber,1909
vladimir-tatlin,pablo-picasso,1913
vladimir-tatlin,alexander-khvostenko-khvostov,1917
julius-evola,julius-evola,1918
otto-freundlich,pablo-picasso,1908
joaquin-torres-garcia,pablo-picasso,1895
albert-gleizes,pablo-picasso,1911
albert-gleizes,stuart-davis,1916
ben-nicholson,winifred-nicholson,1920
serge-charchoune,marie-laurencin,1914
oda-krohg,henri-matisse,1901
ernst-ludwig-kirchner,karl-schmidt-rottluff,1905
antonio-mancini,john-singer-sargent,1877
eric-gill,jacob-epstein,1910
aleksandra-ekster,pablo-picasso,1912
aleksandra-ekster,alexander-khvostenko-khvostov,1918
charles-demuth,max-weber,1909
agnes-lawrence-pelton,max-weber,1895
charles-sheeler,pablo-picasso,1909
filipp-malyavin,konstantin-somov,1894
john-duncan-fergusson,pablo-picasso,1898
georges-rouault,henri-matisse,1905
max-weber,henri-matisse,1905
max-weber,pablo-picasso,1905
carlos-nadal,henri-matisse,1920
theophile-steinlen,pablo-picasso,1901
maximilian-pirner,maximilian-pirner,1872
frances-macdonald,charles-rennie-mackintosh,1891
michel-simonidy,john-singer-sargent,1908
leo-schnug,leo-schnug,1895
albert-lynch,albert-lynch,1879
ramon-casas,pablo-picasso,1900
ivan-bilibin,heorhiy-narbut,1906
louis-wain,john-singer-sargent,1890
adolph-de-meyer,alfred-stieglitz,1903
alfred-stieglitz,clarence-white,1898
alfred-stieglitz,frank-eugene,1902
alfred-stieglitz,gertrude-kasebier,1899
alfred-stieglitz,george-seeley,1904
alfred-stieglitz,anne-brigman,1902
alvin-langdon-coburn,henri-matisse,1913
amedeo-modigliani,pablo-picasso,1906
amedeo-modigliani,jeanne-hebuterne,1917
marie-laurencin,pablo-picasso,1910
jules-pascin,chaim-soutine,1920
erich-heckel,james-ensor,1915
emil-nolde,karl-schmidt-rottluff,1906
emil-nolde,christian-rohlfs,1901
karl-schmidt-rottluff,walter-gramatte,1920
jean-cocteau,pablo-picasso,1917
jacob-epstein,pablo-picasso,1912
jacob-epstein,henry-moore,1920
frederick-varley,arthur-lismer,1912
thalia-flora-karavia,thalia-flora-karavia,1898
george-luks,robert-henri,1893
kmetty-janos,pablo-picasso,1911
lili-elbe,gerda-wegener,1904
wilhelm-kotarbinski,viktor-vasnetsov,1889
pablo-picasso,kees-van-dongen,1906
pablo-picasso,henri-matisse,1906
pablo-picasso,stuart-davis,1913
ettore-tito,john-singer-sargent,1890
vasily-polenov,vasily-polenov,1863
kees-van-dongen,henri-matisse,1905
samuel-mutzner,claude-monet,1908
emile-claus,claude-monet,1890
claude-monet,john-singer-sargent,1885
robert-henri,edward-hopper,1902
robert-henri,george-bellows,1902
robert-henri,stuart-davis,1909
